BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
hypoxanthine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	3127	LC/MS Pos Early	171
I-urobilinogen	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	32426	LC/MS Neg	100001226
ibuprofen	Xenobiotics	"Drug - Analgesics, Anesthetics"	17799	LC/MS Neg	1487
ibuprofen acyl glucuronide	Xenobiotics	"Drug - Analgesics, Anesthetics"	38366	LC/MS Neg	100002406
imidazole lactate	Amino Acid	Histidine Metabolism	15716	LC/MS Pos Early	100000263
imidazole propionate	Amino Acid	Histidine Metabolism	40730	LC/MS Pos Early	100003434
iminodiacetate (IDA)	Xenobiotics	Chemical	21025	LC/MS Pos Early	100000900
indole-3-carboxylate	Amino Acid	Tryptophan Metabolism	38116	LC/MS Neg	100002185
indoleacetate	Amino Acid	Tryptophan Metabolism	27513	LC/MS Neg	100001034
indoleacetoylcarnitine*	Amino Acid	Tryptophan Metabolism	62279	LC/MS Pos Early	100020479
indoleacetylglutamine	Amino Acid	Tryptophan Metabolism	42087	LC/MS Neg	100001731
indolebutyrate	Amino Acid	Tryptophan Metabolism	34402	LC/MS Neg	100001404
indolelactate	Amino Acid	Tryptophan Metabolism	18349	LC/MS Neg	100000463
indolepropionate	Amino Acid	Tryptophan Metabolism	32405	LC/MS Neg	100001083
indolin-2-one	Xenobiotics	Food Component/Plant	43374	LC/MS Pos Early	100004318
inosine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1123	LC/MS Neg	361
inosine 5'-monophosphate (IMP)	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	2133	LC/MS Pos Early	362
isobutyrylcarnitine (C4)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	33441	LC/MS Pos Early	100001055
isobutyrylglycine (C4)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35437	LC/MS Neg	100001590
isocitrate	Energy	TCA Cycle	12110	LC/MS Pos Early	1206
isocitric lactone	Energy	TCA Cycle	54724	LC/MS Polar	100009239
isoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1125	LC/MS Pos Early	376
isoleucylglycine	Peptide	Dipeptide	40008	LC/MS Neg	100003169
isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	57577	LC/MS Neg	100002488
isoursodeoxycholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	63602	LC/MS Neg	100021647
isovalerate (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	44656	LC/MS Neg	100000708
isovalerylcarnitine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	34407	LC/MS Pos Early	100001393
isovalerylglycine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35107	LC/MS Neg	100001452
kynurenate	Amino Acid	Tryptophan Metabolism	1417	LC/MS Neg	98
kynurenine	Amino Acid	Tryptophan Metabolism	15140	LC/MS Pos Early	100000265
L-urobilin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	40173	LC/MS Pos Late	100002568
lactate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	527	LC/MS Polar	482
lanthionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	42002	LC/MS Pos Early	100003892
laurate (12:0)	Lipid	Medium Chain Fatty Acid	1645	LC/MS Neg	181
laurylcarnitine (C12)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	34534	LC/MS Pos Late	100001392
leucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	60	LC/MS Pos Early	397
leucylalanine	Peptide	Dipeptide	40010	LC/MS Pos Early	100003179
leucylglycine	Peptide	Dipeptide	40045	LC/MS Neg	100003185
leucylphenylalanine/isoleucylphenylalanine	Peptide	Dipeptide	52415	LC/MS Neg	100008951
levulinate (4-oxovalerate)	Xenobiotics	Food Component/Plant	22177	LC/MS Neg	100000765
lidocaine	Xenobiotics	"Drug - Analgesics, Anesthetics"	35661	LC/MS Pos Early	100001538
lignoceroylcarnitine (C24)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	57515	LC/MS Pos Late	100015834
linezolid	Xenobiotics	Drug - Antibiotic	57688	LC/MS Pos Early	100015879
linoleate (18:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1105	LC/MS Neg	180
linolenate (18:3n3 or 3n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	34035	LC/MS Neg	100001337
linolenoylcarnitine (C18:3)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	57511	LC/MS Pos Late	100015831
linoleoyl ethanolamide	Lipid	Endocannabinoid	52608	LC/MS Neg	100006726
linoleoylcarnitine (C18:2)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	46223	LC/MS Pos Late	100003151
linoleoylcholine*	Lipid	Fatty Acid Metabolism (Acyl Choline)	57463	LC/MS Pos Late	100015760
lisinopril	Xenobiotics	Drug - Cardiovascular	54787	LC/MS Neg	100009389
lithocholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	62526	LC/MS Neg	100020823
lithocholic acid sulfate (2)	Lipid	Secondary Bile Acid Metabolism	62527	LC/MS Neg	100020824
lysine	Amino Acid	Lysine Metabolism	1301	LC/MS Pos Early	407
malate	Energy	TCA Cycle	1303	LC/MS Neg	409
maleate	Lipid	"Fatty Acid, Dicarboxylate"	20676	LC/MS Polar	100000707
malonate	Lipid	Fatty Acid Synthesis	15872	LC/MS Polar	818
malonylcarnitine	Lipid	Fatty Acid Synthesis	37059	LC/MS Pos Early	100001526
maltol sulfate	Xenobiotics	Food Component/Plant	48696	LC/MS Neg	100006106
maltose	Carbohydrate	Glycogen Metabolism	15586	LC/MS Neg	913
mannitol/sorbitol	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	46142	LC/MS Polar	100001740
mannonate*	Xenobiotics	Food Component/Plant	62864	LC/MS Polar	100003695
mannose	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	48153	LC/MS Polar	803
margarate (17:0)	Lipid	Long Chain Saturated Fatty Acid	1121	LC/MS Neg	891
margaroylcarnitine (C17)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	57512	LC/MS Pos Late	100004054
metabolonic lactone sulfate	Partially Characterized Molecules	Partially Characterized Molecules	63153	LC/MS Neg	100021331
metformin	Xenobiotics	Drug - Metabolic	38306	LC/MS Pos Early	100002405
methionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	1302	LC/MS Pos Early	415
methionine sulfone	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	44878	LC/MS Polar	100004635
methionine sulfoxide	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	18374	LC/MS Pos Early	100000039
methotrexate	Xenobiotics	Drug - Antineoplastic	18486	LC/MS Neg	100000081
methyl glucopyranoside (alpha + beta)	Xenobiotics	Food Component/Plant	46144	LC/MS Neg	100005864
methyl indole-3-acetate	Xenobiotics	Food Component/Plant	1584	LC/MS Neg	1104
methyl-4-hydroxybenzoate sulfate	Xenobiotics	Benzoate Metabolism	48429	LC/MS Neg	100006116
methylmalonate (MMA)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1496	LC/MS Polar	418
methylsuccinate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	15745	LC/MS Polar	2051
metoprolol	Xenobiotics	Drug - Cardiovascular	18037	LC/MS Pos Early	2028
metoprolol acid metabolite*	Xenobiotics	Drug - Cardiovascular	34109	LC/MS Pos Early	100001385
myo-inositol	Lipid	Inositol Metabolism	1124	LC/MS Polar	363
myristate (14:0)	Lipid	Long Chain Saturated Fatty Acid	1365	LC/MS Neg	519
myristoleate (14:1n5)	Lipid	Long Chain Monounsaturated Fatty Acid	32418	LC/MS Neg	100001198
myristoleoylcarnitine (C14:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	48182	LC/MS Pos Late	100006051
myristoylcarnitine (C14)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	33952	LC/MS Pos Late	100001270
"N,N,N-trimethyl-5-aminovalerate"	Amino Acid	Lysine Metabolism	57687	LC/MS Pos Early	100015962
"N,N,N-trimethyl-alanylproline betaine (TMAP)"	Amino Acid	Urea cycle; Arginine and Proline Metabolism	62947	LC/MS Pos Early	100020217
"N,N-dimethylalanine"	Amino Acid	Alanine and Aspartate Metabolism	63151	LC/MS Pos Early	100020371
"N,O-didesmethylvenlafaxine glucuronide"	Xenobiotics	Drug - Psychoactive	52358	LC/MS Pos Early	100006001
N-(2-furoyl)glycine	Xenobiotics	Food Component/Plant	31536	LC/MS Neg	100001086
N-acetyl sulfapyridine	Xenobiotics	Drug - Antibiotic	48680	LC/MS Pos Early	100006229
N-acetyl-1-methylhistidine*	Amino Acid	Histidine Metabolism	43255	LC/MS Pos Early	100004299
N-acetyl-2-aminooctanoate*	Lipid	"Fatty Acid, Amino"	62059	LC/MS Neg	100020204
N-acetyl-3-methylhistidine*	Amino Acid	Histidine Metabolism	43256	LC/MS Neg	100002204
N-acetyl-beta-alanine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	37432	LC/MS Neg	100002102
N-acetyl-cadaverine	Amino Acid	Lysine Metabolism	43530	LC/MS Pos Early	100002249
N-acetyl-isoputreanine	Amino Acid	Polyamine Metabolism	62309	LC/MS Pos Early	100020487
N-acetylalanine	Amino Acid	Alanine and Aspartate Metabolism	1585	LC/MS Polar	1110
N-acetylalliin	Xenobiotics	Food Component/Plant	45404	LC/MS Pos Early	100005367
N-acetylarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	33953	LC/MS Pos Early	100001266
N-acetylasparagine	Amino Acid	Alanine and Aspartate Metabolism	33942	LC/MS Polar	100001257
N-acetylaspartate (NAA)	Amino Acid	Alanine and Aspartate Metabolism	22185	LC/MS Polar	100000787
N-acetylcarnosine	Amino Acid	Histidine Metabolism	43488	LC/MS Polar	100004046
N-acetylcitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	48434	LC/MS Neg	100001577
N-acetylglucosamine/N-acetylgalactosamine	Carbohydrate	Aminosugar Metabolism	46539	LC/MS Pos Early	100006435
N-acetylglucosaminylasparagine	Carbohydrate	Aminosugar Metabolism	48149	LC/MS Pos Early	1215
N-acetylglutamate	Amino Acid	Glutamate Metabolism	15720	LC/MS Polar	100000282
N-acetylglutamine	Amino Acid	Glutamate Metabolism	33943	LC/MS Polar	100001253
N-acetylglycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	27710	LC/MS Pos Early	100001006
N-acetylhistidine	Amino Acid	Histidine Metabolism	33946	LC/MS Neg	100001293
N-acetylisoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	33967	LC/MS Neg	100001276
N-acetylkynurenine (2)	Amino Acid	Tryptophan Metabolism	48757	LC/MS Neg	100006378
N-acetylleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1587	LC/MS Neg	1082
N-acetylmethionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	1589	LC/MS Neg	1083
N-acetylneuraminate	Carbohydrate	Aminosugar Metabolism	32377	LC/MS Pos Early	1162
N-acetylphenylalanine	Amino Acid	Phenylalanine Metabolism	33950	LC/MS Neg	100001256
N-acetylproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	34387	LC/MS Pos Early	100001334
N-acetylputrescine	Amino Acid	Polyamine Metabolism	37496	LC/MS Pos Early	192
N-acetylserine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	37076	LC/MS Polar	100001851
N-acetyltaurine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	48187	LC/MS Neg	100005466
N-acetylthreonine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	33939	LC/MS Neg	100001274
N-acetyltryptophan	Amino Acid	Tryptophan Metabolism	33959	LC/MS Neg	100001254
N-acetyltyrosine	Amino Acid	Tyrosine Metabolism	32390	LC/MS Neg	100001104
N-acetylvaline	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1591	LC/MS Neg	1084
N-alpha-acetylornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	32984	LC/MS Pos Early	100000285
N-carbamoylaspartate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	1594	LC/MS Polar	1108
N-delta-acetylornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	43249	LC/MS Neg	100004523
N-desmethyl tramadol	Xenobiotics	"Drug - Analgesics, Anesthetics"	52355	LC/MS Pos Late	100006384
N-ethylglycinexylidide	Xenobiotics	"Drug - Analgesics, Anesthetics"	33080	LC/MS Pos Early	100001539
N-formylanthranilic acid	Amino Acid	Tryptophan Metabolism	43549	LC/MS Neg	100004561
N-formylmethionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	2829	LC/MS Neg	194
N-formylphenylalanine	Amino Acid	Tyrosine Metabolism	48433	LC/MS Neg	100006056
N-linoleoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	32462	LC/MS Neg	1506
N-linoleoyltaurine*	Lipid	Endocannabinoid	61826	LC/MS Neg	100005814
N-methylpipecolate	Xenobiotics	Bacterial/Fungal	47101	LC/MS Pos Early	100005383
N-methylproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	37431	LC/MS Pos Early	100001956
N-oleoylserine	Lipid	Endocannabinoid	57664	LC/MS Neg	100015641
N-oleoyltaurine	Lipid	Endocannabinoid	39732	LC/MS Neg	100003119
N-oxalyl glycine (NOG)	Xenobiotics	Food Component/Plant	57776	LC/MS Polar	100015923
N-palmitoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	42092	LC/MS Neg	100003686
N-palmitoylserine	Lipid	Endocannabinoid	57659	LC/MS Neg	100015640
N-palmitoyltaurine	Lipid	Endocannabinoid	39835	LC/MS Neg	100003239
N-stearoyltaurine	Lipid	Endocannabinoid	39730	LC/MS Neg	100003240
"N1,N12-diacetylspermine"	Amino Acid	Polyamine Metabolism	52987	LC/MS Pos Early	100002132
N1-Methyl-2-pyridone-5-carboxamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	40469	LC/MS Neg	100001468
1-methyladenosine	Nucleotide	"Purine Metabolism, Adenine containing"	15650	LC/MS Pos Early	1242
N1-methylinosine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	48351	LC/MS Pos Early	100001409
"N2,N2-dimethylguanosine"	Nucleotide	"Purine Metabolism, Guanine containing"	35137	LC/MS Pos Early	100001412
"N2,N5-diacetylornithine"	Amino Acid	Urea cycle; Arginine and Proline Metabolism	43591	LC/MS Neg	100004575
"N2-acetyl,N6,N6-dimethyllysine"	Amino Acid	Lysine Metabolism	63254	LC/MS Pos Early	100020545
"N2-acetyl,N6-methyllysine"	Amino Acid	Lysine Metabolism	62954	LC/MS Pos Early	100020546
N4-acetylcytidine	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	35130	LC/MS Neg	100001413
"N6,N6,N6-trimethyllysine"	Amino Acid	Lysine Metabolism	1498	LC/MS Pos Early	189
"N6,N6-dimethyllysine"	Amino Acid	Lysine Metabolism	62862	LC/MS Pos Early	100020417
N6-acetyllysine	Amino Acid	Lysine Metabolism	36752	LC/MS Neg	100001734
N6-carbamoylthreonyladenosine	Nucleotide	"Purine Metabolism, Adenine containing"	35157	LC/MS Neg	100001415
N6-methyllysine	Amino Acid	Lysine Metabolism	62860	LC/MS Pos Early	100003415
N6-succinyladenosine	Nucleotide	"Purine Metabolism, Adenine containing"	48130	LC/MS Neg	100001664
naproxen	Xenobiotics	"Drug - Analgesics, Anesthetics"	12122	LC/MS Neg	1384
nervonoylcarnitine (C24:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	57531	LC/MS Pos Late	100015846
nicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	594	LC/MS Pos Early	432
NAD+	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	5278	LC/MS Neg	1310
nicotinamide riboside	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	33013	LC/MS Pos Early	100001310
nonadecanoate (19:0)	Lipid	Long Chain Saturated Fatty Acid	1356	LC/MS Neg	892
nonanoylcarnitine (C9)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	61775	LC/MS Pos Late	100006620
norcotinine	Xenobiotics	Tobacco Metabolite	57782	LC/MS Pos Early	100002715
norfluoxetine	Xenobiotics	Drug - Psychoactive	37252	LC/MS Pos Late	100003769
O-acetylhomoserine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	31539	LC/MS Polar	100001129
o-cresol sulfate	Xenobiotics	Benzoate Metabolism	36845	LC/MS Neg	100001806
O-desmethyltramadol	Xenobiotics	"Drug - Analgesics, Anesthetics"	53239	LC/MS Pos Early	100006382
O-desmethyltramadol glucuronide	Xenobiotics	"Drug - Analgesics, Anesthetics"	52357	LC/MS Pos Early	100006383
O-desmethylvenlafaxine	Xenobiotics	Drug - Psychoactive	43334	LC/MS Pos Early	100004173
O-sulfo-L-tyrosine	Xenobiotics	Chemical	45413	LC/MS Neg	100005384
octadecadienedioate (C18:2-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	61860	LC/MS Neg	100019982
octadecanedioate (C18)	Lipid	"Fatty Acid, Dicarboxylate"	36754	LC/MS Neg	100001615
octadecanedioylcarnitine (C18-DC)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	61867	LC/MS Pos Late	100005998
octadecenedioate (C18:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	61861	LC/MS Neg	100019978
octadecenedioylcarnitine (C18:1-DC)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	61865	LC/MS Pos Late	100005996
octanoylcarnitine (C8)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	33936	LC/MS Pos Late	100001247
oleate/vaccenate (18:1)	Lipid	Long Chain Monounsaturated Fatty Acid	52285	LC/MS Neg	100008930
oleoyl ethanolamide	Lipid	Endocannabinoid	38102	LC/MS Pos Late	1137
oleoylcarnitine (C18)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	35160	LC/MS Pos Late	100001501
oleoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53260	LC/MS Pos Late	100009331
olmesartan	Xenobiotics	Drug - Cardiovascular	53256	LC/MS Neg	100006239
omeprazole	Xenobiotics	Drug - Gastrointestinal	38600	LC/MS Neg	100002725
ornithine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1493	LC/MS Pos Early	444
orotate	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	1505	LC/MS Polar	445
orotidine	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	35172	LC/MS Polar	100001416
oxalate (ethanedioate)	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	20694	LC/MS Neg	100000841
oxypurinol	Xenobiotics	Drug - Metabolic	41726	LC/MS Polar	100002489
p-cresol glucuronide*	Amino Acid	Tyrosine Metabolism	48841	LC/MS Neg	100006191
p-cresol sulfate	Xenobiotics	Benzoate Metabolism	36103	LC/MS Neg	100001315
palmitate (16:0)	Lipid	Long Chain Saturated Fatty Acid	1336	LC/MS Neg	424
palmitoleate (16:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	33447	LC/MS Neg	452
palmitoleoylcarnitine (C16:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	53223	LC/MS Pos Late	100009406
palmitoyl ethanolamide	Lipid	Endocannabinoid	38165	LC/MS Neg	1489
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	Lipid	Ceramide PEs	62984	LC/MS Pos Late	100021162
palmitoylcarnitine (C16)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	44681	LC/MS Pos Late	100000776
palmitoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	52944	LC/MS Pos Late	100009233
pantoate	Cofactors and Vitamins	Pantothenate and CoA Metabolism	63061	LC/MS Neg	100002613
pantoprazole	Xenobiotics	Drug - Gastrointestinal	38609	LC/MS Neg	100002808
pantothenate (Vitamin B5)	Cofactors and Vitamins	Pantothenate and CoA Metabolism	1508	LC/MS Neg	1024
paraxanthine	Xenobiotics	Xanthine Metabolism	18254	LC/MS Neg	100000453
paroxetine	Xenobiotics	Drug - Psychoactive	40461	LC/MS Pos Late	100003442
pelargonate (9:0)	Lipid	Medium Chain Fatty Acid	12035	LC/MS Neg	437
pentadecanoate (15:0)	Lipid	Long Chain Saturated Fatty Acid	1361	LC/MS Neg	980
pentose acid*	Partially Characterized Molecules	Partially Characterized Molecules	63264	LC/MS Polar	100021467
perfluorooctanesulfonate (PFOS)	Xenobiotics	Chemical	57564	LC/MS Polar	100010955
perfluorooctanoate (PFOA)	Xenobiotics	Chemical	62071	LC/MS Polar	100020208
phenol sulfate	Amino Acid	Tyrosine Metabolism	32553	LC/MS Neg	100001510
phenylacetate	Amino Acid	Phenylalanine Metabolism	57745	LC/MS Neg	100000011
phenylacetylcarnitine	Peptide	Acetylated Peptides	48425	LC/MS Pos Early	100006108
phenylacetylglutamate	Peptide	Acetylated Peptides	52925	LC/MS Neg	100009045
phenylacetylglutamine	Peptide	Acetylated Peptides	35126	LC/MS Neg	100001417
phenylalanine	Amino Acid	Phenylalanine Metabolism	64	LC/MS Pos Early	460
phenylalanylphenylalanine	Peptide	Dipeptide	38150	LC/MS Neg	100002293
phenylalanyltryptophan	Peptide	Dipeptide	41377	LC/MS Neg	100003594
phenyllactate (PLA)	Amino Acid	Phenylalanine Metabolism	22130	LC/MS Neg	100000774
phenylpyruvate	Amino Acid	Phenylalanine Metabolism	566	LC/MS Neg	241
phosphate	Energy	Oxidative Phosphorylation	42109	LC/MS Pos Early	461
phosphoethanolamine (PE)	Lipid	Phospholipid Metabolism	1600	LC/MS Pos Early	1026
phytanate	Xenobiotics	Food Component/Plant	598	LC/MS Neg	466
picolinate	Amino Acid	Tryptophan Metabolism	1512	LC/MS Pos Early	1022
picolinoylglycine	Lipid	Fatty Acid Metabolism (Acyl Glycine)	63057	LC/MS Neg	100021198
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)"	53224	LC/MS Pos Early	100009407
pipecolate	Amino Acid	Lysine Metabolism	1444	LC/MS Neg	1025
piperine	Xenobiotics	Food Component/Plant	33935	LC/MS Pos Late	100001267
prednisolone	Xenobiotics	"Drug - Antiinflammatory, Immunosuppressant"	54742	LC/MS Pos Late	100009252
pregnanediol-3-glucuronide	Lipid	Progestin Steroids	40708	LC/MS Neg	100003470
pregnen-diol disulfate*	Lipid	Pregnenolone Steroids	32562	LC/MS Neg	100001993
pregnenediol sulfate (C21H34O5S)*	Lipid	Pregnenolone Steroids	32619	LC/MS Neg	100002067
pregnenetriol disulfate*	Lipid	Pregnenolone Steroids	62921	LC/MS Neg	100021104
pregnenetriol sulfate*	Lipid	Pregnenolone Steroids	62922	LC/MS Neg	100021103
pregnenolone sulfate	Lipid	Pregnenolone Steroids	38170	LC/MS Neg	100002129
pristanate	Lipid	"Fatty Acid, Branched"	38271	LC/MS Neg	477
prolylhydroxyproline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	35127	LC/MS Pos Early	100001167
proline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1898	LC/MS Pos Early	480
prolylglycine	Peptide	Dipeptide	40703	LC/MS Pos Early	100003674
promethazine	Xenobiotics	Drug - Gastrointestinal	57695	LC/MS Pos Late	100015777
propionylcarnitine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32452	LC/MS Pos Early	100001162
propionylglycine (C3)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	31932	LC/MS Neg	100001150
propyl 4-hydroxybenzoate sulfate	Xenobiotics	Benzoate Metabolism	48460	LC/MS Neg	100006264
pseudouridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	33442	LC/MS Neg	821
pyridoxal	Cofactors and Vitamins	Vitamin B6 Metabolism	1651	LC/MS Pos Early	491
pyridoxate	Cofactors and Vitamins	Vitamin B6 Metabolism	31555	LC/MS Polar	100001121
pyroglutamine*	Amino Acid	Glutamate Metabolism	46225	LC/MS Pos Early	100001540
pyrraline	Xenobiotics	Food Component/Plant	48428	LC/MS Neg	100001767
pyruvate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	48990	LC/MS Polar	823
quinate	Xenobiotics	Food Component/Plant	18335	LC/MS Polar	100000442
quinine	Xenobiotics	Drug - Antibiotic	39767	LC/MS Pos Late	100002968
quinolinate	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	1899	LC/MS Polar	182
ranitidine	Xenobiotics	Drug - Gastrointestinal	38595	LC/MS Pos Early	100002735
ranitidine N-oxide*	Xenobiotics	Drug - Gastrointestinal	62485	LC/MS Pos Early	100020810
resveratrol disulfate (1)*	Xenobiotics	Food Component/Plant	62110	LC/MS Neg	100020247
resveratrol disulfate (2)*	Xenobiotics	Food Component/Plant	62111	LC/MS Neg	100020248
resveratrol sulfate (1)*	Xenobiotics	Food Component/Plant	62108	LC/MS Neg	100020245
resveratrol sulfate (2)*	Xenobiotics	Food Component/Plant	62109	LC/MS Neg	100020246
retinal	Cofactors and Vitamins	Vitamin A Metabolism	40807	LC/MS Pos Late	100004088
retinol (Vitamin A)	Cofactors and Vitamins	Vitamin A Metabolism	1806	LC/MS Pos Late	498
ribitol	Carbohydrate	Pentose Metabolism	15772	LC/MS Polar	100000406
ribonate	Carbohydrate	Pentose Metabolism	27731	LC/MS Polar	100001007
ribulonate/xylulonate/lyxonate*	Carbohydrate	Pentose Metabolism	61858	LC/MS Polar	100019968
S-1-pyrroline-5-carboxylate	Amino Acid	Glutamate Metabolism	42370	LC/MS Pos Early	35
S-adenosylhomocysteine (SAH)	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	42382	LC/MS Neg	197
S-allylcysteine	Xenobiotics	Food Component/Plant	43239	LC/MS Pos Early	100004509
S-methylcysteine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	39592	LC/MS Neg	100002749
S-methylcysteine sulfoxide	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	43378	LC/MS Pos Early	100002927
saccharin	Xenobiotics	Food Component/Plant	21151	LC/MS Neg	100000870
salicylate	Xenobiotics	Drug - Topical Agents	1515	LC/MS Polar	501
salicyluric glucuronide*	Xenobiotics	"Drug - Analgesics, Anesthetics"	33384	LC/MS Neg	100001332
sarcosine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	1516	LC/MS Pos Early	1023
sebacate (C10-DC)	Lipid	"Fatty Acid, Dicarboxylate"	32398	LC/MS Neg	100001211
sedoheptulose	Carbohydrate	Pentose Metabolism	53237	LC/MS Polar	100002619
serine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	1648	LC/MS Pos Early	503
serotonin	Amino Acid	Tryptophan Metabolism	2342	LC/MS Pos Early	504
sertraline	Xenobiotics	Drug - Psychoactive	39757	LC/MS Pos Late	100002804
solanidine	Xenobiotics	Food Component/Plant	39788	LC/MS Pos Late	100002773
spermidine	Amino Acid	Polyamine Metabolism	485	LC/MS Pos Late	50
